Id,Label
- Bullets Over Broadway,- Bullets Over Broadway
- Young Guns,- Young Guns
+ Network,+ Network
- U-571,- U-571
+ Dirty Harry,+ Dirty Harry
+ The Curse of the Were-Rabbit,+ The Curse of the Were-Rabbit
+ Kiss Kiss Bang Bang,+ Kiss Kiss Bang Bang
+ Munich,+ Munich
- Cars,- Cars
- 3:10 to Yuma,- 3:10 to Yuma
+ Rise of the Planet of the Apes,+ Rise of the Planet of the Apes
- Sherlock Holmes: A Game of Shadows,- Sherlock Holmes: A Game of Shadows
+ Smoke,+ Smoke
+ Reality Bites,+ Reality Bites
+ Welcome to the Dollhouse,+ Welcome to the Dollhouse
+ The Grifters,+ The Grifters
+ My Left Foot: The Story of Christy Brown,+ My Left Foot: The Story of Christy Brown
+ Miller's Crossing,+ Miller's Crossing
+ Pink Floyd: The Wall,+ Pink Floyd: The Wall
+ Young Guns,+ Young Guns
+ Midnight Cowboy,+ Midnight Cowboy
+ Fletch,+ Fletch
+ First Blood,+ First Blood
+ National Lampoon's Christmas Vacation,+ National Lampoon's Christmas Vacation
+ ¡Three Amigos!,+ ¡Three Amigos!
+ The Red Violin,+ The Red Violin
+ Tarzan,+ Tarzan
+ National Lampoon's Vacation,+ National Lampoon's Vacation
+ A River Runs Through It,+ A River Runs Through It
+ Easy Rider,+ Easy Rider
- Scream 3,- Scream 3
+ The Beach,+ The Beach
+ Wonder Boys,+ Wonder Boys
+ Do the Right Thing,+ Do the Right Thing
+ Blood Simple,+ Blood Simple
+ The Running Man,+ The Running Man
+ What About Bob?,+ What About Bob?
+ The Lost Boys,+ The Lost Boys
+ Duck Soup,+ Duck Soup
+ The Name of the Rose,+ The Name of the Rose
+ Live Free or Die Hard,+ Live Free or Die Hard
+ Stardust,+ Stardust
+ Thor,+ Thor
+ Captain America: The First Avenger,+ Captain America: The First Avenger
+ Sherlock Holmes: A Game of Shadows,+ Sherlock Holmes: A Game of Shadows
+ Iron Man 3,+ Iron Man 3
+ Star Trek Into Darkness,+ Star Trek Into Darkness
+ The Hobbit: The Desolation of Smaug,+ The Hobbit: The Desolation of Smaug
+ Captain America: The Winter Soldier,+ Captain America: The Winter Soldier
+ Bullets Over Broadway,+ Bullets Over Broadway
+ Mr. Smith Goes to Washington,+ Mr. Smith Goes to Washington
"- 20,000 Leagues Under the Sea","- 20,000 Leagues Under the Sea"
- Cool Runnings,- Cool Runnings
- Being There,- Being There
+ Hamlet,+ Hamlet
+ The Ice Storm,+ The Ice Storm
+ On the Waterfront,+ On the Waterfront
- The Big Chill,- The Big Chill
+ A Simple Plan,+ A Simple Plan
- Patch Adams,- Patch Adams
+ And Now for Something Completely Different,+ And Now for Something Completely Different
+ The Virgin Suicides,+ The Virgin Suicides
+ Gosford Park,+ Gosford Park
+ Punch-Drunk Love,+ Punch-Drunk Love
+ About Schmidt,+ About Schmidt
+ Matchstick Men,+ Matchstick Men
- DodgeBall: A True Underdog Story,- DodgeBall: A True Underdog Story
+ Corpse Bride,+ Corpse Bride
+ Babel,+ Babel
+ Sweeney Todd: The Demon Barber of Fleet Street,+ Sweeney Todd: The Demon Barber of Fleet Street
+ Glengarry Glen Ross,+ Glengarry Glen Ross
+ The Big Sleep,+ The Big Sleep
+ Being There,+ Being There
+ Double Indemnity,+ Double Indemnity
+ Pee-wee's Big Adventure,+ Pee-wee's Big Adventure
+ Ghost World,+ Ghost World
+ Invasion of the Body Snatchers,+ Invasion of the Body Snatchers
+ Don Juan DeMarco,+ Don Juan DeMarco
- Speed 2: Cruise Control,- Speed 2: Cruise Control
- Doctor Dolittle,- Doctor Dolittle
+ Robin Hood,+ Robin Hood
- Mission to Mars,- Mission to Mars
+ A Knight's Tale,+ A Knight's Tale
+ Scream 2,+ Scream 2
+ Police Academy,+ Police Academy
+ Final Destination,+ Final Destination
+ U-571,+ U-571
+ What Lies Beneath,+ What Lies Beneath
+ How the Grinch Stole Christmas,+ How the Grinch Stole Christmas
+ Swordfish,+ Swordfish
+ Rush Hour 2,+ Rush Hour 2
+ Heavy Metal,+ Heavy Metal
- The First Wives Club,- The First Wives Club
- Roman Holiday,- Roman Holiday
+ Notorious,+ Notorious
- The Lawnmower Man,- The Lawnmower Man
- Star Trek V: The Final Frontier,- Star Trek V: The Final Frontier
- Under Siege,- Under Siege
- Hamlet,- Hamlet
- Sphere,- Sphere
- The Man in the Iron Mask,- The Man in the Iron Mask
+ Repo Man,+ Repo Man
- The Rocketeer,- The Rocketeer
+ Charlotte's Web,+ Charlotte's Web
+ Strangers on a Train,+ Strangers on a Train
- Meet Joe Black,- Meet Joe Black
- First Blood,- First Blood
- ¡Three Amigos!,- ¡Three Amigos!
+ Excalibur,+ Excalibur
- What About Bob?,- What About Bob?
- Pay It Forward,- Pay It Forward
